answ	subj	Freq	percent	session
1	1	1	22	68.75	2
2	1	106	21	65.625	2
3	1	122	22	68.75	2
4	1	123	22	68.75	2
5	1	126	18	56.25	2
6	1	144	19	59.375	2
7	1	146	16	50	2
8	1	150	17	53.125	2
9	1	19	21	65.625	2
10	1	26	17	53.125	2
11	1	37	22	68.75	2
12	1	40	22	68.75	2
13	1	62	18	56.25	2
14	1	72	19	59.375	2
15	1	79	19	59.375	2
16	1	85	22	68.75	2
17	1	89	21	65.625	2
18	1	91	22	68.75	2
19	1	94	22	68.75	2
20	1	95	21	65.625	2
21	1	96	21	65.625	2
