answ	subj	Freq	percent	session
1	1	11	21	65.625	1
2	1	126	22	68.75	1
3	1	129	20	62.5	1
4	1	144	19	59.375	1
5	1	146	21	65.625	1
6	1	19	22	68.75	1
7	1	26	21	65.625	1
8	1	3	21	65.625	1
9	1	37	21	65.625	1
10	1	41	22	68.75	1
11	1	5	20	62.5	1
12	1	53	21	65.625	1
13	1	55	22	68.75	1
14	1	57	19	59.375	1
15	1	6	18	56.25	1
16	1	69	19	59.375	1
17	1	72	19	59.375	1
18	1	91	20	62.5	1
