subject,item,cond,sentence,rating,age,sex,L1,bilingual,impairment,education
plausibility_1,24,intro,Der Sachbearbeiter rief an.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,24,subject,Der Asylbewerber rief an.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,24,distr_inan,Die Flucht rief an.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,24,distr_anim,Der Dolmetscher rief an.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,68,distr_anim,Der Flüchtige zitterte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,68,distr_inan,Der Fluchtwagen zitterte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,68,subject,Die Zeugin zitterte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,68,intro,Der Kommissar zitterte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,70,distr_inan,Der Wagen handelte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,70,subject,Die Polizistin handelte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,70,distr_anim,Der Mann handelte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,70,intro,Der Vorgesetzte handelte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,35,distr_anim,Der Jugendliche bremste.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,35,distr_inan,Die Fahrweise bremste.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,35,intro,Der Radfahrer bremste.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,35,subject,Der Fahrlehrer bremste.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,117,subject,Der Patient rauchte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,117,distr_anim,Der Krankenpfleger rauchte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,117,distr_inan,Der Schmerz rauchte.,1,27,weiblich,deutsch,nein,nein,master
